id;name;race;age;health_status
1;ick;consequently;27726;boo
2;gadzooks psst duel;speedily partially;31904;meh since beneath
3;furiously;unnaturally amid mysteriously;12774;poorly obnoxiously
4;aha redevelop;glorious;24321;ultimate vector
5;finally pro;fortunately;22930;awful icecream macaw
6;nasalise yahoo minus;unpack if screen;9702;yuck revolving server
7;achievement yum;intensely weakly;31510;huzzah exorcise keenly
8;or;delightfully;15512;throughout meaningfully
9;listen;clank greedily;20826;excitedly realistic amidst
10;gee puffin pressure;burrow train;15815;specific far barren
